company_name,homepage_url,recruits_url,page_type,post_type,hiring,region
이스트시큐리티,https://www.estsecurity.com,https://estfamily.career.greetinghr.com/ko/home#28b0beb1-8cd9-406d-a3a6-fcaf94e67e87,listing,text,TRUE,
두나무,https://www.dunamu.com,https://www.dunamu.com/careers/jobs?category=engineering,listing,text,TRUE,분석하기 좋아보이면서 에러나고 오인식하기도 좋아보임
무신사,https://www.musinsa.com,https://www.musinsacareers.com/ko/home#f9221335-0b3f-4011-b3ac-1ed1a0e34984,listing,text,TRUE,
리디,https://www.ridicorp.com,https://ridi.career.greetinghr.com/ko/home,listing,text,TRUE,
버즈빌,https://www.buzzvil.com,https://buzzvil.career.greetinghr.com/ko/home,listing,text,TRUE,정형화 포맷
클래스101,https://www.class101.net,https://jobs.class101.net/ko/guide#5089e105-e7df-45e0-9802-5509c0db0b0c,listing,text,TRUE,정형화 포맷
업스테이지,https://www.upstage.ai,https://careers.upstage.ai/?_gl=1*nxit15*_gcl_au*NTI3MjMwOTQwLjE3NjM0NTQzNDQ.*_ga*MzYyMzA3NDIwLjE3NjM0NTQzNDQ.*_ga_XHVZT7B35B*czE3NjM0NTQzNDQkbzEkZzEkdDE3NjM0NTQ0MTMkajUyJGwwJGgyMDE4OTAyNTY3,listing,text,TRUE,
스켈터랩스,https://www.skelterlabs.com,https://www.skelterlabs.com/career,listing,text,TRUE,
크라우드웍스,https://www.crowdworks.kr,https://crowdworks.career.greetinghr.com/ko/guide,listing,text,TRUE,
이노그리드,https://www.innogrid.com,https://innogridhr.career.greetinghr.com/ko/recruit,listing,text,TRUE,정형화된
오픈핸즈,https://www.openhands.co.kr,https://2e.career.greetinghr.com/ko/guide#5089e105-e7df-45e0-9802-5509c0db0b0c,listing,text,TRUE,정형화된
하이퍼리즘,https://www.hyperithm.com,https://hyperithm.career.greetinghr.com/ko/open-positions#dbdf3d09-dcdb-4ded-99e6-eaf97cdea730,listing,text,TRUE,정형화된
