id	name	homepage_url	recruits_url	recruits_url_status	recruits_url_score	logo_url	industry	address	created_at	updated_at	external_job_site	hiring	page_type	post_type	region	acc_mt	bizr_no	ceo_name	dart_corp_code	dart_modify_date	est_dt	homepage_checked_at	homepage_fail_count	homepage_host	homepage_last_status_code	homepage_url_status	name_norm	source_meta	stock_code	swdb_fin_year
1	앤비전	https://www.envision.co.kr/ko/main.asp	https://www.envision.co.kr/ko/envision/recruit.asp	CONFIRMED	NULL	NULL	NULL	강원특별자치도 강릉시 과학단지로 106-77 (대전동)	2025-11-09 22:06:07.082029	2026-02-26 07:07:39.805964	NULL	0	listing	text	강원	NULL	NULL	조지현	NULL	NULL	NULL	2026-03-23 16:38:00.939043	0	.co.kr	200	alive	NULL	{"sources": {"swdb_csv": {"last_seen_at": "2026-02-26T07:07:39.805909", "raw_homepage": "http://www.gitt .co.kr", "fin_year_raw": "2024"}}}	NULL	2024
2	정보와기술(주)	http://www.lgit.co.kr/	http://www.lgit.co.kr/bbs/board.php?bo_table=hire&wr_id=12	CONFIRMED	NULL	NULL	NULL	서울특별시 금천구 디지털로9길 68, 1806 1807 1808 1809 1810호 (가산동,대륭포스트5차)	2025-11-09 22:06:07.086397	2026-02-26 07:07:14.238685	NULL	0	listing	image	서울특별시	NULL	NULL	이충근	NULL	NULL	NULL	2026-03-23 16:38:01.033931	0	lgit.co.kr	200	alive	NULL	{"sources": {"swdb_csv": {"last_seen_at": "2026-02-26T07:07:14.238630", "raw_homepage": "http://www.lgit.co.kr", "fin_year_raw": "2024"}}}	NULL	2024
3	이노시스아이티	http://www.innosysit.co.kr/	http://www.innosysit.co.kr/homepage/index.html	CONFIRMED	NULL	NULL	NULL	서울특별시 영등포구 여의대방로65길 17 (여의도동, 서린빌딩 411호~412호)	2025-11-09 22:06:07.092381	2026-02-26 07:07:03.147789	NULL	0	main	text	서울특별시	NULL	NULL	김한수	NULL	NULL	NULL	2026-03-23 16:38:01.082575	0	ysit.co.kr	200	alive	NULL	{"sources": {"swdb_csv": {"last_seen_at": "2026-02-26T07:07:03.147737", "raw_homepage": "www.ysit.co.kr", "fin_year_raw": "2024"}}}	NULL	2024
4	이노솔루텍	http://www.innost.co.kr/	http://www.innost.co.kr/kor/careers/menu_04.html	CONFIRMED	NULL	NULL	NULL	대전광역시 유성구 원신흥로 122-11, 3층(원신흥동, 명경프라자II)	2025-11-09 22:06:07.094833	2026-02-26 07:07:54.625074	NULL	0	listing	text	대전광역시	NULL	NULL	김영일	NULL	NULL	NULL	2026-03-23 16:38:01.217131	0	innost.co.kr	200	alive	NULL	{"sources": {"swdb_csv": {"last_seen_at": "2026-02-26T07:07:54.625007", "raw_homepage": "www.innost.co.kr", "fin_year_raw": "2024"}}}	NULL	2024
5	(주)오션정보기술	http://ocean-it.co.kr/index.html	http://ocean-it.co.kr/index.html	CONFIRMED	NULL	NULL	NULL	인천광역시 연수구 송도과학로 56, 504호(송도동, 송도테크노파크비티센타)	2025-11-09 22:06:07.097342	2026-02-26 07:07:10.844307	NULL	0	external	external_link	인천	NULL	NULL	박은영	NULL	NULL	NULL	2026-03-23 16:38:01.246211	0	n-it.co.kr	200	alive	NULL	{"sources": {"swdb_csv": {"last_seen_at": "2026-02-26T07:07:10.844254", "raw_homepage": "http://n-it.co.kr", "fin_year_raw": "2024"}}}	NULL	2024
6	뉴로센스	http://www.neurosense.co.kr	http://www.neurosense.co.kr/kor/recruitement/index.html	NULL	NULL	NULL	NULL	NULL	2025-11-09 22:06:07.099752	2025-11-10 04:56:14.550639	NULL	0	listing	text	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-03-23 16:38:01.298883	0	NULL	200	alive	NULL	NULL	NULL	NULL
7	아라드네트웍스	https://www.aradnetworks.com/?lang=	https://www.aradnetworks.com/sub/sub0105.php	CONFIRMED	NULL	NULL	NULL	NULL	2025-11-09 22:06:07.102131	2025-11-10 04:56:14.553272	NULL	0	listing	text	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-03-23 16:38:01.365480	0	NULL	200	alive	NULL	NULL	NULL	NULL
8	소올아이티	http://soarit.net/index.php	http://soarit.net/sub/sub04_03.php	CONFIRMED	NULL	NULL	NULL	서울특별시 금천구 가산디지털1로 16, 5층 519호(가산동, 에이피타워)	2025-11-09 22:06:07.104469	2026-02-26 07:07:42.609935	NULL	0	listing	text	서울특별시	NULL	NULL	허성일	NULL	NULL	NULL	2026-03-23 16:38:01.459994	0	soarit.net	200	alive	NULL	{"sources": {"swdb_csv": {"last_seen_at": "2026-02-26T07:07:42.609877", "raw_homepage": "http://www.soarit.net/", "fin_year_raw": "2024"}}}	NULL	2024
9	진네트웍스	http://jinnetworks.com/	https://jinnetworks.com/about-jin-3/	CONFIRMED	NULL	NULL	NULL	서울특별시 금천구 가산디지털2로 123, 910호 (가산동, 월드메르디앙2차)	2025-11-09 22:06:07.106860	2026-02-26 07:07:58.778310	NULL	0	listing	text	서울특별시	NULL	NULL	이호진	NULL	NULL	NULL	2026-03-23 16:38:04.161694	0	jinnetworks.com	200	alive	NULL	{"sources": {"swdb_csv": {"last_seen_at": "2026-02-26T07:07:58.778255", "raw_homepage": "www.jinnetworks.com", "fin_year_raw": "2024"}}}	NULL	2024
10	버츄얼드림	http://www.virtualdream.co.kr/index.do	http://www.virtualdream.co.kr/vd.do?menu_id=0501000000	CONFIRMED	NULL	NULL	NULL	서울특별시 금천구 가산디지털2로 165, 11층 1104호(가산동, 백상스타타워2차)	2025-11-09 22:06:07.109292	2026-02-26 07:07:14.481485	NULL	0	listing	text	서울특별시	NULL	NULL	나성인	NULL	NULL	NULL	2026-03-23 16:38:04.212738	0	virtualdream.co.kr	200	alive	NULL	{"sources": {"swdb_csv": {"last_seen_at": "2026-02-26T07:07:14.481433", "raw_homepage": "http://www.virtualdream.co.kr", "fin_year_raw": "2024"}}}	NULL	2024
