회사명,대표이사,홈페이지,본사주소,재무현황연도
에스씨지랩(주),"박동녘, 김요한",http://www.scglab.com,"서울특별시 마포구 월드컵북로6길 3 (연남동, 이노베이스빌딩) 3,5,6F",2024
주식회사 인터로이드,김수화,http://www.interroid.com,"서울특별시 강남구 논현로 503, 17층(역삼동, 송촌빌딩) ",2024
주식회사 슬기소프트,조윤영,http://,"서울특별시 서초구 효령로53길 45(서초동, 서초이오빌 201-27호)",2024
캠벨(주),장명석,http://www.campbell.co.kr,"경기도 안양시 동안구 전파로 88, 7층 709-1호 (호계동, 신원비젼타워)",2024
주식회사 큐랩,이상기,http://,"경기도 성남시 수정구 창업로 43, A동 3층 304호(시흥동, 글로벌비즈센터) ",2024
(주)기술사사무소 고려기술단,김동조,http://,강원도 춘천시 신동면 모오리길 62,2024
(주)데이터위버,김도훈,http://www.dataweaver.co.kr,"서울특별시 금천구 가산디지털1로 205-27, 가산에이1타워 625호 (가산동)",2024
주식회사 바이트블룸,이희철,http://,"서울특별시 송파구 오금로11길 23-13, 3층(방이동) ",2024
에이치알투어,김우식,http://,"서울특별시 서초구 염곡말길 9, 3층 공유사무실 (염곡동)",2024
주식회사 네옴소프트,전광수,http://,"광주광역시 북구 첨단과기로 123, B동 406호 (오룡동, 광주과학기술원 창업진흥센터 )",2024
삼성통신기술(주),박정근,http://,강원특별자치도 원주시 북원로2246번길 5 (단계동) ,2024
대건정보통신,김정팔,http://,강원도 속초시 미시령로 3161 (노학동) ,2024
주식회사 아이핌,정희태,http://www.aipim.io,"서울특별시 송파구 오금로 310, 2층 (가락동, 가락빌딩)",2024
트윈아트,강정아,http://www.twinart.co.kr,"서울특별시 금천구 가산디지털2로 165, 706호(가산동, 백상스타타워2차) ",2024
텔스타 주식회사,임병훈,http://telstar.kr,경기도 평택시 청북읍 현곡산단로93번길 89,2024
주식회사 티맥스티베로,박경희,https://www.tmaxtibero.com/,"경기도 성남시 분당구 정자일로 45 6층(금곡동, 티맥스소프트타워)",2024
(주)케이엔비씨,김재춘,http://,"대전광역시 유성구 왕가봉로24번길 28-2, 501호 (노은동)",2024
코드퀀스,김태경,https://www.codequence.com,"대전광역시 유성구 반석로 46, 407동 803호(반석동, 반석마을4단지) ",2024
(주)다오버,김진영,http://www.daover.com,"경기도 안양시 동안구 흥안대로 415, 서관 907호(평촌동,두산벤처다임)",2024
주식회사 온아웃,최용우,http://,"대구광역시 수성구 알파시티1로 160, 3층 305호 대홍동, 에스더블유융합테크비즈센터(대홍동, SW융합테크비즈센터) ",2024
(주)이웨이브솔루션,유승철,http://www.ewavesolution.co.kr,경기도 안산시 상록구 안산테콤길 57 (사사동),2024
호이,유승윤,http://,"경기도 수원시 팔달구 효원로308번길 58-17, 102동 1501호(인계동, 동양파라곤) ",2024
(주)세포아소프트,이희림,http://www.sepoasoft.co.kr,"서울특별시 구로구 디지털로31길 62, 7층  714호,715호,716호,717호(구로동, 아티스포럼) (구로동)",2024
주식회사 이로엔지니어링,이숙,http://,"대구광역시 북구 호국로39길 6-6, 4층(서변동, 도원빌딩) ",2024
중앙엔지에스(주),이은동,http://www.joongang.group,"서울특별시 마포구 토정로37길 41, 6층 601호(염리동, 하나프라자) ",2024
(주)데이타솔루션,"배복태, 정교중",http://www.datasolution.kr,"서울특별시 강남구 언주로 620, 10층(논현동, 현대인텔렉스)",2024
주식회사 도원아이티,박일용,www.do-oneit.com,"서울특별시 강남구 논현로 507, 17층 11호 (역삼동, 성지하이츠3차빌딩)",2024
주식회사 케이디에스,손종남,http://,광주광역시 남구 수박등로6번길 10(월산동),2024
코리아소프트(주),남연지,http://koreasoft.kr,"인천광역시 부평구 길주로 639, 1002호 (삼산동)",2024
(주)삼경엠에스,엄연옥,http://www.iskms.com,"경기도 군포시 산본로 94, 3층 (당정동)",2024
주식회사 비저너리데이터,이홍기,http://visionarydata.co.kr,"서울특별시 강서구 마곡중앙6로 42, 413호 (마곡동)",2024
(주)디아이엔티,최성만,http://www.dint.kr,"서울특별시 구로구 경인로53가길 10, 5층 507호(구로동, 구로 대명벨리온 지식산업센터)",2024
주식회사 스토리이십일,서진영,http://www.story21.co.kr,"제주특별자치도 서귀포시 성산읍 수송로 165, 105동 2층",2024
주식회사 누리봄,이준섭,www.nuribom.com,"서울특별시 금천구 가산디지털2로 114, 602-4호 (가산동)",2024
코이넷(주),김일형,http://koynet.co.kr,"서울특별시 구로구 디지털로33길 55, 1308-1호(구로동, 이앤씨벤처드림타워2차) ",2024
(주)포테이토넷,신경아,http://www.potatonet.ai,"서울특별시 광진구 능동로 120, 창의관동 312호(자양동, 건국대학교) ",2024
향교도서,박미진,http://,경상남도 김해시 구지로 116-3 (대성동),2024
에스앤씨,강병필,http://,"경기도 하남시 하남대로 947, D동 1407호(풍산동, 하남테크노밸리 U1 CENTER)",2024
씨앤아이소프트,송재균,http://cnisoft.biz,"대구광역시 수성구 용학로50길 27, 202호 (지산동)",2024
주식회사 대현이앤씨,황규연,http://,"충청북도 괴산군 사리면 농공단지길 54, 2층",2024
도모 주식회사,이선종,https://www.domo.co.kr/,"서울특별시 강남구 학동로 518, 2,3층 (삼성동, 로고스빌딩)",2024
주식회사 넷스루,최원홍,http://www.nethru.co.kr/main/main.html?,"서울특별시 성동구 광나루로8길 31, 2동 7층 (성수동2가, 성수 SK V1센터)",2024
주식회사 데이터박스,허지은,http://,"서울특별시 강남구 도산대로49길 22, 4층 (신사동)",2024
(주)한얼누리,권택조,http://www.haneolnuri.com,충청북도 음성군 삼성면 선정로97번길 90-4,2024
해운도서,최산일,http://,"부산광역시 해운대구 해운대로76번길 43, 1층 중간호(재송동)",2024
토탈정보통신,허범선,http://,"인천광역시 동구 방축로37번길 30, 1동 133호 (인천산업용품유통단지) (송현동)",2024
길샘정보통신,전남철,http://,"인천광역시 계양구 임학안로6번길 7 (임학동, 길샘빌딩)",2024
스피치로그(주),주재선,http://speechlog.co.kr,"서울특별시 용산구 청파로45길 14, 2층(청파동3가) ",2024
(주)씨엘시스템,이규철,http://,"경기도 김포시 태장로 755, 4층 407호 (장기동, 지타워 지식산업센터)",2024
주식회사 대경무선통신,박진효,http://,"경상남도 진주시 진양호로 253, 1층 (평거동)",2024
(주)두리안정보기술,정재욱,http://www.durianit.co.kr,"경기도 성남시 분당구 삼평동 판교로255번길 9-22, 6층 603호 판교우림W-CITY(삼평동)",2024
온누리테크,강성만,http://,"대전광역시 서구 월평동로 83, 상가동 2층 204호(월평동, 다모아아파트) ",2024
주식회사 오츠,봉하경,http://,"서울특별시 금천구 가산디지털1로 100, 1410호 (가산동, 에이스골드타워)",2024
디올림 주식회사,현병은,http://www.theallim.com,"서울특별시 중구 동호로17길 277, 4층 (신당동, 와이즈허브빌딩)",2024
