company_name,homepage_url,recruits_url,page_type,post_type,hiring,region
앤비전,https://www.envision.co.kr/ko/main.asp,https://envision.recruiter.co.kr/app/jobnotice/list,listing,image,true,
정보와기술(주),http://www.lgit.co.kr/?,http://www.lgit.co.kr/bbs/board.php?bo_table=hire,listing,text,true,
이노시스아이티,http://www.innosysit.co.kr/,http://www.innosysit.co.kr/homepage/index.html,main,text,false,
이노솔루텍,http://www.innost.co.kr/,http://www.innost.co.kr/kor/careers/menu_04.html,listing,text,false,
(주)오션정보기술,http://ocean-it.co.kr/index.html,http://ocean-it.co.kr/people05.html,external,,,
뉴로센스,http://www.neurosense.co.kr,http://www.neurosense.co.kr/kor/recruitement/index.html,one_page,text,true,
아라드네트웍스,https://www.aradnetworks.com/?lang=,https://www.aradnetworks.com/sub/sub0105-2.php,one_page,image,true,
소올아이티,http://soarit.net/index.php,http://soarit.net/sub/sub04_03.php,one_page,text,true,
진네트웍스,http://jinnetworks.com/,http://jinnetworks.com/about-jin-3/,one_page,text,true,
버츄얼드림,http://www.virtualdream.co.kr/index.do,http://www.virtualdream.co.kr/vd.do?menu_id=0501000000,one_page,text,true,
JATCOKOREA,http://www.jatco.co.kr/m/main.do,http://recruit.jatco.co.kr/board/recruit.do,listing,text,true,
알피오,http://www.rpio.co.kr/index.php,http://www.rpio.co.kr/pg/bbs/board.php?bo_table=cs01&wr_id=22,one_page,image,false,
아이티벨리,https://www.itballey.com,https://www.itballey.com/kor/company/careers.php,one_page,text,false,
(주)라코어,http://lacore.co.kr,none,,,,
(주)이루온,http://www.inssys.co.kr,https://ict-eluon.imweb.me/recruitInfo,one_page,image,true,
웨이브글로벌,http://www.wave-global.com/,http://www.wave-global.com/recruitment-information.html,one_page,text,true,
네오슬론,http://www.neoslon.com,http://www.neoslon.com/theme/s007/index/aboutus_05.php,one_page,image,true,
(주)YTINS,,,,,,
주식회사_로노,https://lono.quv.kr/,https://lono.quv.kr/module/board/read_form.html?bid=tjQ6ek&aid=zlNrNO&pn=customer,one_page,text,false,성의없게올림
제이엘스탠다드,,,,,,
나인웍스(주),https://9works.kr/,none,,,,
에스지테크놀로지,https://sgt119.com/,none,,,,
머플,https://www.murple.ai/,https://www.wanted.co.kr/company/42343,external,external_link,,
카페24,https://www.cafe24.com,none,,,,
솔트룩스,https://www.saltlux.com,none,,,,
메가존클라우드,https://www.megazone.com,none,,,,
메가존,https://www.mz.co.kr,https://xmukacmt.ninehire.site/job_posting,listing,text,true,
더존비즈온,https://www.douzone.com,https://recruit.douzone.com/,listing,image,true,
영림원소프트랩,https://www.ksystem.co.kr,https://www.ksystem.co.kr/right-people-for-younglimwon/,one_page,text,true,
한글과컴퓨터,https://www.hancom.com,none,,,,
다우기술,https://daou.co.kr,https://recruit.daou.co.kr/recruit?category=Tech,listing,text,false,
다우데이타,https://www.daoudata.co.kr,https://www.daoudata.co.kr/ko/applicants/recruitment,listing,text,true,
토마토시스템,https://www.tomatosystem.co.kr,none,,,,
코리아센터,,,,,,
엠로,http://www.emro.co.kr,https://emro.recruiter.co.kr/career/home,listing,image,true,
아이티센,https://itcen.com/index.do,https://itcen.com/user/recruit/BD_recruitListView.do,listing,image,true,
씨에스텍,http://www.cstlab.co.kr/,http://www.cstlab.co.kr/page/sub4_1,one_page,image,true,
비투엔,https://www.b2en.com,https://www.b2en.com/career/recruit,external,external_link,,
